Length,Period
0.1,1.7651471691452274
0.2,2.5006251562890722
0.30000000000000004,3.000750187546887
0.4,3.530294338290455
0.5,4.001000250062516
0.6,4.286785982209838
0.7000000000000001,4.6165387500721335
0.8,5.0012503125781445
0.9,5.4559094319034305
1.0,5.4559094319034305
1.1,6.001500375093774
1.2000000000000002,6.001500375093774
1.3000000000000003,6.668333750104193
1.4000000000000001,6.668333750104193
1.5000000000000002,6.668333750104193
1.6,7.501875468867217
1.7000000000000002,7.501875468867217
1.8000000000000003,7.501875468867217
1.9000000000000001,7.501875468867217
2.0,7.501875468867217
2.1,8.573571964419676
2.2,8.573571964419676
2.3000000000000003,8.573571964419676
2.4000000000000004,8.573571964419676
2.5000000000000004,8.573571964419676
2.6,8.573571964419676
2.7,8.573571964419676
2.8000000000000003,10.002500625156289
2.9000000000000004,10.002500625156289
3.0000000000000004,10.002500625156289
3.1,10.002500625156289
3.2,10.002500625156289
3.3000000000000003,10.002500625156289
3.4000000000000004,10.002500625156289
3.5000000000000004,10.002500625156289
3.6,10.002500625156289
3.7,10.002500625156289
3.8000000000000003,10.002500625156289
3.9000000000000004,12.003000750187548
4.0,12.003000750187548
4.1,12.003000750187548
4.2,12.003000750187548
4.3,12.003000750187548
4.3999999999999995,12.003000750187548
4.5,12.003000750187548
4.6,12.003000750187548
4.7,12.003000750187548
4.8,12.003000750187548
4.9,12.003000750187548
5.0,12.003000750187548
5.1,12.003000750187548
5.2,12.003000750187548
5.3,12.003000750187548
5.4,12.003000750187548
5.5,12.003000750187548
5.6,12.003000750187548
5.7,12.003000750187548
5.8,15.003750937734434
5.9,15.003750937734434
6.0,15.003750937734434
6.1,15.003750937734434
6.2,15.003750937734434
6.3,15.003750937734434
6.4,15.003750937734434
6.5,15.003750937734434
6.6,15.003750937734434
6.7,15.003750937734434
6.8,15.003750937734434
6.9,15.003750937734434
7.0,15.003750937734434
7.1,15.003750937734434
7.2,15.003750937734434
7.3,15.003750937734434
7.4,15.003750937734434
7.5,15.003750937734434
7.6,15.003750937734434
7.7,15.003750937734434
7.8,15.003750937734434
7.9,15.003750937734434
8.0,15.003750937734434
8.1,15.003750937734434
8.2,15.003750937734434
8.3,15.003750937734434
8.4,15.003750937734434
8.5,15.003750937734434
8.6,15.003750937734434
8.7,15.003750937734434
8.8,15.003750937734434
8.9,15.003750937734434
9.0,15.003750937734434
9.1,15.003750937734434
9.2,15.003750937734434
9.3,15.003750937734434
9.4,15.003750937734434
9.5,15.003750937734434
9.6,20.005001250312578
9.700000000000001,20.005001250312578
9.8,20.005001250312578
9.9,20.005001250312578
10.0,20.005001250312578
10.1,20.005001250312578
10.200000000000001,20.005001250312578
10.3,20.005001250312578
10.4,20.005001250312578
10.5,20.005001250312578
10.6,20.005001250312578
10.700000000000001,20.005001250312578
10.8,20.005001250312578
10.9,20.005001250312578
11.0,20.005001250312578
11.1,20.005001250312578
11.200000000000001,20.005001250312578
11.3,20.005001250312578
11.4,20.005001250312578
11.5,20.005001250312578
11.6,20.005001250312578
11.700000000000001,20.005001250312578
11.8,20.005001250312578
11.9,20.005001250312578
12.0,20.005001250312578
12.1,20.005001250312578
12.200000000000001,20.005001250312578
12.3,20.005001250312578
12.4,20.005001250312578
12.5,20.005001250312578
12.6,20.005001250312578
12.700000000000001,20.005001250312578
12.8,20.005001250312578
12.9,20.005001250312578
13.0,20.005001250312578
13.1,20.005001250312578
13.200000000000001,20.005001250312578
13.3,20.005001250312578
13.4,20.005001250312578
13.5,20.005001250312578
13.6,20.005001250312578
13.700000000000001,20.005001250312578
13.8,20.005001250312578
13.9,20.005001250312578
14.0,20.005001250312578
14.1,20.005001250312578
14.200000000000001,20.005001250312578
14.3,20.005001250312578
14.4,20.005001250312578
14.5,20.005001250312578
14.6,20.005001250312578
14.700000000000001,20.005001250312578
14.8,20.005001250312578
14.9,20.005001250312578
15.0,20.005001250312578
15.1,20.005001250312578
15.200000000000001,20.005001250312578
15.3,20.005001250312578
15.4,20.005001250312578
15.5,20.005001250312578
15.6,20.005001250312578
15.700000000000001,20.005001250312578
15.8,20.005001250312578
15.9,20.005001250312578
16.0,20.005001250312578
16.1,20.005001250312578
16.200000000000003,20.005001250312578
16.3,20.005001250312578
16.400000000000002,20.005001250312578
16.500000000000004,20.005001250312578
16.6,20.005001250312578
16.700000000000003,20.005001250312578
16.8,20.005001250312578
16.900000000000002,20.005001250312578
17.000000000000004,20.005001250312578
17.1,20.005001250312578
17.200000000000003,20.005001250312578
17.3,20.005001250312578
17.400000000000002,20.005001250312578
17.500000000000004,20.005001250312578
17.6,20.005001250312578
17.700000000000003,20.005001250312578
17.8,20.005001250312578
17.900000000000002,20.005001250312578
18.000000000000004,20.005001250312578
18.1,20.005001250312578
18.200000000000003,20.005001250312578
18.3,20.005001250312578
18.400000000000002,20.005001250312578
18.500000000000004,20.005001250312578
18.6,20.005001250312578
18.700000000000003,20.005001250312578
18.8,20.005001250312578
18.900000000000002,20.005001250312578
19.000000000000004,20.005001250312578
19.1,20.005001250312578
19.200000000000003,30.00750187546887
19.300000000000004,30.00750187546887
19.400000000000002,30.00750187546887
19.500000000000004,30.00750187546887
19.6,30.00750187546887
19.700000000000003,30.00750187546887
19.800000000000004,30.00750187546887
19.900000000000002,30.00750187546887
20.000000000000004,30.00750187546887
20.1,30.00750187546887
20.200000000000003,30.00750187546887
20.300000000000004,30.00750187546887
20.400000000000002,30.00750187546887
20.500000000000004,30.00750187546887
20.6,30.00750187546887
20.700000000000003,30.00750187546887
20.800000000000004,30.00750187546887
